ID	sample_13	sample_14	sample_15
ENSGMOG00000000166	89	82	90
ENSGMOG00000000167	49	52	35
ENSGMOG00000000168	207	111	139
ENSGMOG00000000169	16	20	29
ENSGMOG00000000170	137	124	107
ENSGMOG00000000171	894	817	806
ENSGMOG00000000172	2073	2016	1915
ENSGMOG00000000173	602	443	498
ENSGMOG00000000174	2669	2128	2048
ENSGMOG00000000175	722	618	579
ENSGMOG00000000176	1408	1522	1425
ENSGMOG00000000177	991	834	873
ENSGMOG00000000178	5254	3884	4131
ENSGMOG00000000179	2888	2331	2458
ENSGMOG00000000180	294	178	240
ENSGMOG00000000181	2958	2218	2653
ENSGMOG00000000182	331	258	302
ENSGMOG00000000183	0	0	0
ENSGMOG00000000184	9634	7557	8123
ENSGMOG00000000185	271	212	218
ENSGMOG00000000186	1772	1253	1680
ENSGMOG00000000187	0	0	0
ENSGMOG00000000188	579	481	488
ENSGMOG00000000189	17414	13540	14348
ENSGMOG00000000190	1196	1072	1152
ENSGMOG00000000191	0	0	1
ENSGMOG00000000192	80	85	83
ENSGMOG00000000193	4636	4490	4608
ENSGMOG00000000194	2660	2540	2608
ENSGMOG00000000195	1178	1059	1155
ENSGMOG00000000196	14	3	17
ENSGMOG00000000197	41	65	29
ENSGMOG00000000198	3922	3137	3497
ENSGMOG00000000199	77	54	56
ENSGMOG00000000200	395	326	343
ENSGMOG00000000201	1512	1327	1269
ENSGMOG00000000202	767	621	717
ENSGMOG00000000203	13	29	11
ENSGMOG00000000204	2358	1808	1831
ENSGMOG00000000205	90	91	64
ENSGMOG00000000206	370	328	342
ENSGMOG00000000207	767	695	613
ENSGMOG00000000208	4344	3560	3841
ENSGMOG00000000209	1151	940	1152
ENSGMOG00000000210	0	1	0
ENSGMOG00000000211	12	12	25
ENSGMOG00000000212	562	539	495
ENSGMOG00000000213	3	10	8
ENSGMOG00000000214	6	6	4
ENSGMOG00000000215	15	13	9
ENSGMOG00000000216	121	101	144
ENSGMOG00000000217	626	582	568
ENSGMOG00000000218	7267	6436	6878
ENSGMOG00000000219	0	1	1
ENSGMOG00000000220	6	6	3
ENSGMOG00000000221	1190	895	918
ENSGMOG00000000222	426	325	299
ENSGMOG00000000223	2333	2079	2688
ENSGMOG00000000224	1235	1043	918
ENSGMOG00000000225	2	4	1
ENSGMOG00000000226	166	180	159
ENSGMOG00000000227	106	105	121
ENSGMOG00000000228	1551	1371	1430
ENSGMOG00000000229	63	36	57
ENSGMOG00000000230	39	52	54
ENSGMOG00000000231	12564	10415	9861
ENSGMOG00000000232	6561	5274	5095
ENSGMOG00000000233	3305	2424	2671
ENSGMOG00000000234	993	863	974
ENSGMOG00000000235	1950	1503	1421
ENSGMOG00000000236	11253	7981	8618
ENSGMOG00000000237	1373	1216	1304
ENSGMOG00000000238	390	307	344
ENSGMOG00000000239	912	768	816
ENSGMOG00000000240	2422	1947	1967
ENSGMOG00000000241	1577	1094	1283
ENSGMOG00000000242	1721	1594	1669
ENSGMOG00000000243	19872	15364	16546
ENSGMOG00000000244	1395	1287	1231
ENSGMOG00000000245	115	120	114
ENSGMOG00000000246	6999	5189	5582
ENSGMOG00000000247	2241	1872	1735
ENSGMOG00000000248	5117	3853	3908
ENSGMOG00000000249	1418	1254	1174
ENSGMOG00000000250	8582	7226	7504
ENSGMOG00000000251	7299	6277	6645
ENSGMOG00000000252	536	407	466
ENSGMOG00000000253	1078	997	953
ENSGMOG00000000254	1467	1196	1444
ENSGMOG00000000255	1425	1010	1028
ENSGMOG00000000256	0	0	3
ENSGMOG00000000257	912	702	732
ENSGMOG00000000258	1974	1908	1986
ENSGMOG00000000259	67	86	99
ENSGMOG00000000260	10200	8905	9175
ENSGMOG00000000261	257	220	159
ENSGMOG00000000262	835	910	972
ENSGMOG00000000263	34	60	18
ENSGMOG00000000264	5611	4878	4550
ENSGMOG00000000265	20	32	21
ENSGMOG00000000266	12085	9836	10059
ENSGMOG00000000267	7696	6695	6611
ENSGMOG00000000268	3391	3051	3146
ENSGMOG00000000269	93	73	56
ENSGMOG00000000270	315	226	229
ENSGMOG00000000271	820	754	775
ENSGMOG00000000272	2	0	3
ENSGMOG00000000273	4743	4643	5222
ENSGMOG00000000274	1363	1168	1154
ENSGMOG00000000275	47	48	38
ENSGMOG00000000276	121	108	121
ENSGMOG00000000277	1383	1051	1127
ENSGMOG00000000278	9210	8665	9252
ENSGMOG00000000279	13	10	18
ENSGMOG00000000280	19	24	19
ENSGMOG00000000281	4	7	8
ENSGMOG00000000282	96	68	72
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	5	2	5
ENSGMOG00000000285	307	325	353
ENSGMOG00000000286	131	105	107
ENSGMOG00000000287	18	14	20
ENSGMOG00000000288	268	200	192
ENSGMOG00000000289	105	90	91
ENSGMOG00000000290	2	16	12
ENSGMOG00000000291	5175	3933	4412
ENSGMOG00000000292	252	227	238
ENSGMOG00000000293	56	25	18
ENSGMOG00000000294	81	74	69
ENSGMOG00000000295	983	960	873
ENSGMOG00000000296	167	151	153
ENSGMOG00000000297	636	516	561
ENSGMOG00000000298	793	585	644
ENSGMOG00000000299	2	1	3
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	11116	8681	8959
ENSGMOG00000000302	191	131	168
ENSGMOG00000000303	730	763	716
ENSGMOG00000000304	5	9	1
ENSGMOG00000000305	2	2	0
ENSGMOG00000000306	0	0	0
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	1885	1704	1790
ENSGMOG00000000309	782	659	719
ENSGMOG00000000310	2752	2172	2655
ENSGMOG00000000311	0	4	0
ENSGMOG00000000312	2379	1712	1811
ENSGMOG00000000313	0	0	0
ENSGMOG00000000314	5	1	0
ENSGMOG00000000315	10	9	13
ENSGMOG00000000316	1429	1006	1028
ENSGMOG00000000317	958	886	889
ENSGMOG00000000318	132998	134226	132138
ENSGMOG00000000319	52	44	39
ENSGMOG00000000320	1263	1210	1302
ENSGMOG00000000321	5491	4512	5032
ENSGMOG00000000322	144	216	207
ENSGMOG00000000323	1538	1155	1474
ENSGMOG00000000324	620	551	526
ENSGMOG00000000325	2000	1706	1639
ENSGMOG00000000326	26351	23704	25183
ENSGMOG00000000327	149	139	161
ENSGMOG00000000328	1308	1166	1070
ENSGMOG00000000329	9	6	2
ENSGMOG00000000330	2208	1720	1653
ENSGMOG00000000331	6455	4724	4847
ENSGMOG00000000332	11	6	5
ENSGMOG00000000333	32	11	20
ENSGMOG00000000334	0	1	5
ENSGMOG00000000335	1265	1146	1192
ENSGMOG00000000336	161	126	100
ENSGMOG00000000337	752	650	711
ENSGMOG00000000338	673	700	765
ENSGMOG00000000339	18	14	10
ENSGMOG00000000340	833	702	650
ENSGMOG00000000341	515	526	560
ENSGMOG00000000342	1867	1610	1593
ENSGMOG00000000343	6	8	5
ENSGMOG00000000344	9	14	13
ENSGMOG00000000345	0	0	1
ENSGMOG00000000346	43	15	24
ENSGMOG00000000347	919	773	1046
ENSGMOG00000000348	221	185	182
ENSGMOG00000000349	442	379	366
ENSGMOG00000000350	3001	2272	2875
ENSGMOG00000000351	14	15	5
ENSGMOG00000000352	967	875	887
ENSGMOG00000000353	3100	2819	2689
ENSGMOG00000000354	1589	1311	1292
ENSGMOG00000000355	4074	2446	3076
ENSGMOG00000000356	474	374	486
ENSGMOG00000000357	1177	1020	1135
ENSGMOG00000000358	1193	1096	1231
ENSGMOG00000000359	93	89	78
ENSGMOG00000000360	1631	1496	1718
ENSGMOG00000000361	10	8	7
ENSGMOG00000000362	1334	1112	1042
ENSGMOG00000000363	7314	5653	6333
ENSGMOG00000000364	633	513	594
ENSGMOG00000000365	960	695	858
ENSGMOG00000000366	1219	1065	905
ENSGMOG00000000367	0	0	0
ENSGMOG00000000368	651	625	742
ENSGMOG00000000369	1126	1024	1084
ENSGMOG00000000370	142	170	108
ENSGMOG00000000371	45	51	62
ENSGMOG00000000372	615	440	520
ENSGMOG00000000373	3	5	5
ENSGMOG00000000374	1395	1200	1242
ENSGMOG00000000375	191	213	193
ENSGMOG00000000376	55	26	35
ENSGMOG00000000377	1191	1218	1449
ENSGMOG00000000378	4	0	3
ENSGMOG00000000379	5	11	6
ENSGMOG00000000380	227	178	147
ENSGMOG00000000381	2575	1986	2089
ENSGMOG00000000382	220	178	235
ENSGMOG00000000383	495	428	470
ENSGMOG00000000384	225	163	189
ENSGMOG00000000385	262	195	322
ENSGMOG00000000386	53	35	59
ENSGMOG00000000387	68	50	82
ENSGMOG00000000388	8	5	2
ENSGMOG00000000389	2718	2053	2393
ENSGMOG00000000390	116	75	38
ENSGMOG00000000391	5569	4782	5043
ENSGMOG00000000392	3566	3776	3858
ENSGMOG00000000393	44	20	57
ENSGMOG00000000394	1517	1363	1455
ENSGMOG00000000395	2075	1854	2034
ENSGMOG00000000396	306	248	302
ENSGMOG00000000397	1833	1637	1590
ENSGMOG00000000398	2	0	3
ENSGMOG00000000399	242	191	209
ENSGMOG00000000400	4303	3615	3582
ENSGMOG00000000401	153	137	187
ENSGMOG00000000402	3011	2342	2263
ENSGMOG00000000403	1	2	2
ENSGMOG00000000404	230	169	219
ENSGMOG00000000405	2571	2405	2317
ENSGMOG00000000406	4018	3163	3412
ENSGMOG00000000407	20669	15001	14885
ENSGMOG00000000408	964	781	861
ENSGMOG00000000409	49	35	43
ENSGMOG00000000410	32	24	32
ENSGMOG00000000411	10	2	7
ENSGMOG00000000412	586	546	665
ENSGMOG00000000413	2600	1867	2001
ENSGMOG00000000414	2232	1725	1870
ENSGMOG00000000415	40	25	31
ENSGMOG00000000416	11229	8885	8896
ENSGMOG00000000417	818	728	758
ENSGMOG00000000418	30	12	19
ENSGMOG00000000419	26	15	11
ENSGMOG00000000420	505	427	577
ENSGMOG00000000421	6106	4181	4951
ENSGMOG00000000422	3157	2705	2759
ENSGMOG00000000423	7	1	1
ENSGMOG00000000424	1738	1584	1699
ENSGMOG00000000425	60	52	47
ENSGMOG00000000426	165	143	134
ENSGMOG00000000427	2257	1961	2330
ENSGMOG00000000428	3	7	8
ENSGMOG00000000429	2625	2379	2542
ENSGMOG00000000430	92	98	101
ENSGMOG00000000431	0	1	1
ENSGMOG00000000432	441	345	373
ENSGMOG00000000433	149	134	189
ENSGMOG00000000434	6405	5925	6322
ENSGMOG00000000435	31	27	26
ENSGMOG00000000436	1700	1557	1183
ENSGMOG00000000437	4513	4158	4815
ENSGMOG00000000438	579	453	521
ENSGMOG00000000439	2629	1930	1921
ENSGMOG00000000440	1499	1230	1280
ENSGMOG00000000441	36	21	39
ENSGMOG00000000442	19	12	12
ENSGMOG00000000443	177	139	150
ENSGMOG00000000444	817	676	697
ENSGMOG00000000445	122	156	172
ENSGMOG00000000446	5443	4454	4548
ENSGMOG00000000447	2	5	7
ENSGMOG00000000448	39	33	30
ENSGMOG00000000449	1432	1061	1216
ENSGMOG00000000450	6	1	3
ENSGMOG00000000451	192	137	168
ENSGMOG00000000452	1422	1193	1406
ENSGMOG00000000453	196	168	153
ENSGMOG00000000454	20	16	14
ENSGMOG00000000455	472	432	580
ENSGMOG00000000456	56	48	56
ENSGMOG00000000457	517	431	468
ENSGMOG00000000458	4429	3446	3340
ENSGMOG00000000459	2213	2049	2098
ENSGMOG00000000460	1827	1529	1510
ENSGMOG00000000461	1	1	0
ENSGMOG00000000462	151	132	125
ENSGMOG00000000463	734	533	589
ENSGMOG00000000464	340	295	293
ENSGMOG00000000465	2641	2045	2076
ENSGMOG00000000466	2	0	0
ENSGMOG00000000467	2895	2442	2888
ENSGMOG00000000468	2	3	0
ENSGMOG00000000469	334	207	236
ENSGMOG00000000470	480	378	492
ENSGMOG00000000471	6	2	2
ENSGMOG00000000472	32	30	26
ENSGMOG00000000473	1997	1792	1806
ENSGMOG00000000474	611	514	458
ENSGMOG00000000475	1003	864	908
ENSGMOG00000000476	6645	5590	5994
ENSGMOG00000000477	372	359	364
ENSGMOG00000000478	95	43	65
ENSGMOG00000000479	786	626	582
ENSGMOG00000000480	527	487	506
ENSGMOG00000000481	711	580	562
ENSGMOG00000000482	762	620	667
ENSGMOG00000000483	13376	10200	10396
ENSGMOG00000000484	165	125	157
ENSGMOG00000000485	144	165	142
ENSGMOG00000000486	225	147	159
ENSGMOG00000000487	517	420	478
ENSGMOG00000000488	1841	1434	1633
ENSGMOG00000000489	25	23	17
ENSGMOG00000000490	0	0	0
ENSGMOG00000000491	29	14	23
ENSGMOG00000000492	1810	1539	1710
ENSGMOG00000000493	0	0	2
ENSGMOG00000000494	234	201	211
ENSGMOG00000000495	2519	1879	2010
ENSGMOG00000000496	14	9	8
ENSGMOG00000000497	35	35	39
ENSGMOG00000000498	29	59	41
ENSGMOG00000000499	14	15	3
ENSGMOG00000000500	1493	1193	1317
ENSGMOG00000000501	21185	19741	19803
ENSGMOG00000000502	20	31	27
ENSGMOG00000000503	4	7	10
ENSGMOG00000000504	21	16	1
ENSGMOG00000000505	1097	1028	999
ENSGMOG00000000506	5550	5358	5104
ENSGMOG00000000507	17	16	16
ENSGMOG00000000508	7044	6514	7289
ENSGMOG00000000509	4	10	9
ENSGMOG00000000510	4059	3506	3574
ENSGMOG00000000511	7889	7156	7659
ENSGMOG00000000512	1607	1336	1376
ENSGMOG00000000513	9283	7226	7713
ENSGMOG00000000514	774	564	632
ENSGMOG00000000515	893	728	811
ENSGMOG00000000516	276	184	242
ENSGMOG00000000517	810	685	756
ENSGMOG00000000518	269	240	266
ENSGMOG00000000519	2007	1659	1971
ENSGMOG00000000520	1853	1261	1449
ENSGMOG00000000521	3369	2858	2804
ENSGMOG00000000522	234	176	213
ENSGMOG00000000523	898	762	846
ENSGMOG00000000524	2305	1981	2030
ENSGMOG00000000525	6345	4531	4981
ENSGMOG00000000526	17253	13927	14068
ENSGMOG00000000527	177	112	135
ENSGMOG00000000528	1564	1354	1317
ENSGMOG00000000529	52	28	48
ENSGMOG00000000530	592	442	521
ENSGMOG00000000531	573	480	462
ENSGMOG00000000532	3734	3364	3514
ENSGMOG00000000533	14	4	11
ENSGMOG00000000534	6981	6012	6017
ENSGMOG00000000535	3754	3521	3609
ENSGMOG00000000536	1266	1174	1145
ENSGMOG00000000537	0	2	2
ENSGMOG00000000538	5262	4468	4479
ENSGMOG00000000539	2406	1825	1991
ENSGMOG00000000540	6330	5848	5865
ENSGMOG00000000541	8132	6072	6453
ENSGMOG00000000542	974	957	938
ENSGMOG00000000543	48	23	34
ENSGMOG00000000544	346	301	327
ENSGMOG00000000545	1668	1539	1597
ENSGMOG00000000546	38	29	37
ENSGMOG00000000547	11	8	3
ENSGMOG00000000548	73639	58786	56733
ENSGMOG00000000549	8585	6877	7067
ENSGMOG00000000550	103	87	119
ENSGMOG00000000551	613	560	572
ENSGMOG00000000552	1620	1178	1242
ENSGMOG00000000553	855	682	731
ENSGMOG00000000554	2508	1805	2114
ENSGMOG00000000555	11261	6372	10172
ENSGMOG00000000556	299	212	236
ENSGMOG00000000557	1576	1311	1560
ENSGMOG00000000558	0	2	1
ENSGMOG00000000559	14669	11544	13905
ENSGMOG00000000560	3882	3448	3352
