ID	sample_4	sample_5	sample_6
ENSGMOG00000000166	87	155	74
ENSGMOG00000000167	46	103	36
ENSGMOG00000000168	58	179	65
ENSGMOG00000000169	15	19	11
ENSGMOG00000000170	107	216	91
ENSGMOG00000000171	752	1865	638
ENSGMOG00000000172	1891	3563	1323
ENSGMOG00000000173	405	1115	429
ENSGMOG00000000174	1838	4679	1753
ENSGMOG00000000175	697	1446	508
ENSGMOG00000000176	1316	2592	1012
ENSGMOG00000000177	811	1751	745
ENSGMOG00000000178	3775	9734	3817
ENSGMOG00000000179	2192	5540	2123
ENSGMOG00000000180	349	633	251
ENSGMOG00000000181	2074	4954	1860
ENSGMOG00000000182	215	507	196
ENSGMOG00000000183	2	0	0
ENSGMOG00000000184	6994	15834	6323
ENSGMOG00000000185	217	387	176
ENSGMOG00000000186	1559	2790	1093
ENSGMOG00000000187	0	0	0
ENSGMOG00000000188	365	942	335
ENSGMOG00000000189	12517	31238	11622
ENSGMOG00000000190	1052	2271	831
ENSGMOG00000000191	0	0	0
ENSGMOG00000000192	48	95	49
ENSGMOG00000000193	5071	9679	3893
ENSGMOG00000000194	1592	2829	1230
ENSGMOG00000000195	994	1889	840
ENSGMOG00000000196	3	15	4
ENSGMOG00000000197	24	52	16
ENSGMOG00000000198	3228	7275	2793
ENSGMOG00000000199	54	72	41
ENSGMOG00000000200	236	494	216
ENSGMOG00000000201	1040	2027	782
ENSGMOG00000000202	598	1599	506
ENSGMOG00000000203	11	25	10
ENSGMOG00000000204	1797	4360	1616
ENSGMOG00000000205	47	76	27
ENSGMOG00000000206	333	713	263
ENSGMOG00000000207	606	1397	560
ENSGMOG00000000208	3030	6362	2536
ENSGMOG00000000209	934	2169	750
ENSGMOG00000000210	0	3	0
ENSGMOG00000000211	5	33	6
ENSGMOG00000000212	342	807	287
ENSGMOG00000000213	4	7	2
ENSGMOG00000000214	7	10	9
ENSGMOG00000000215	1	7	2
ENSGMOG00000000216	89	262	85
ENSGMOG00000000217	548	1131	461
ENSGMOG00000000218	4913	10074	4053
ENSGMOG00000000219	4	2	0
ENSGMOG00000000220	0	5	4
ENSGMOG00000000221	1097	2369	874
ENSGMOG00000000222	308	735	244
ENSGMOG00000000223	2421	3766	1502
ENSGMOG00000000224	933	2230	819
ENSGMOG00000000225	6	9	5
ENSGMOG00000000226	149	284	115
ENSGMOG00000000227	104	136	52
ENSGMOG00000000228	1866	3316	1492
ENSGMOG00000000229	39	104	26
ENSGMOG00000000230	9	67	31
ENSGMOG00000000231	10949	25720	9286
ENSGMOG00000000232	4993	13842	5077
ENSGMOG00000000233	2525	6236	2487
ENSGMOG00000000234	963	1300	497
ENSGMOG00000000235	1509	3961	1534
ENSGMOG00000000236	8070	20774	8042
ENSGMOG00000000237	1176	2308	856
