ID	sample_1	sample_2	sample_3
ENSGMOG00000000166	91	78	179
ENSGMOG00000000167	54	51	64
ENSGMOG00000000168	92	81	115
ENSGMOG00000000169	26	10	28
ENSGMOG00000000170	112	123	173
ENSGMOG00000000171	649	781	1065
ENSGMOG00000000172	1713	1757	2927
ENSGMOG00000000173	483	543	721
ENSGMOG00000000174	1784	2396	2926
ENSGMOG00000000175	539	655	864
ENSGMOG00000000176	1299	1408	2201
ENSGMOG00000000177	784	879	1141
ENSGMOG00000000178	3398	4775	5788
ENSGMOG00000000179	2134	2518	3363
ENSGMOG00000000180	235	217	356
ENSGMOG00000000181	1987	2596	3369
ENSGMOG00000000182	200	187	320
ENSGMOG00000000183	2	0	0
ENSGMOG00000000184	6719	8354	11238
ENSGMOG00000000185	232	164	286
ENSGMOG00000000186	1214	1741	2599
ENSGMOG00000000187	0	0	0
ENSGMOG00000000188	451	470	675
ENSGMOG00000000189	11734	16237	20103
ENSGMOG00000000190	1003	1202	2035
ENSGMOG00000000191	0	0	0
ENSGMOG00000000192	65	60	60
ENSGMOG00000000193	4544	4394	7205
ENSGMOG00000000194	1749	2105	3010
ENSGMOG00000000195	1064	1034	1521
ENSGMOG00000000196	6	12	12
ENSGMOG00000000197	17	26	39
ENSGMOG00000000198	2822	3345	4954
ENSGMOG00000000199	46	32	62
ENSGMOG00000000200	232	259	451
ENSGMOG00000000201	949	992	1628
ENSGMOG00000000202	609	671	964
ENSGMOG00000000203	25	10	24
ENSGMOG00000000204	1414	1893	2494
ENSGMOG00000000205	63	103	65
ENSGMOG00000000206	311	375	558
ENSGMOG00000000207	606	609	1044
ENSGMOG00000000208	3115	3432	4991
ENSGMOG00000000209	849	1083	1376
ENSGMOG00000000210	0	1	0
ENSGMOG00000000211	14	12	22
ENSGMOG00000000212	395	363	547
ENSGMOG00000000213	6	2	5
ENSGMOG00000000214	6	7	9
ENSGMOG00000000215	5	1	6
ENSGMOG00000000216	136	91	115
ENSGMOG00000000217	555	499	755
ENSGMOG00000000218	4339	5207	7232
ENSGMOG00000000219	0	0	0
ENSGMOG00000000220	2	2	3
ENSGMOG00000000221	1024	1065	1537
ENSGMOG00000000222	271	306	470
ENSGMOG00000000223	2476	2437	4642
ENSGMOG00000000224	849	907	1518
ENSGMOG00000000225	6	5	11
ENSGMOG00000000226	110	138	247
ENSGMOG00000000227	108	93	161
ENSGMOG00000000228	1366	1321	2288
ENSGMOG00000000229	51	47	60
ENSGMOG00000000230	32	37	53
ENSGMOG00000000231	9193	10532	14923
ENSGMOG00000000232	4939	6515	8108
ENSGMOG00000000233	2316	3145	3912
ENSGMOG00000000234	805	834	1344
ENSGMOG00000000235	1465	1787	2230
ENSGMOG00000000236	7614	9319	11514
ENSGMOG00000000237	1135	1113	1783
ENSGMOG00000000238	320	351	492
ENSGMOG00000000239	721	770	1316
ENSGMOG00000000240	1660	2242	2912
ENSGMOG00000000241	1171	1460	1767
ENSGMOG00000000242	1340	1458	2344
ENSGMOG00000000243	13229	17080	21367
ENSGMOG00000000244	934	1233	1641
ENSGMOG00000000245	79	120	174
ENSGMOG00000000246	4686	6180	7464
ENSGMOG00000000247	1628	1972	2694
ENSGMOG00000000248	3938	4809	5750
ENSGMOG00000000249	1239	1144	2043
ENSGMOG00000000250	6731	9105	10895
ENSGMOG00000000251	6011	7684	10116
