ID	sample_16	sample_17	sample_18
ENSGMOG00000000167	49	49	37
ENSGMOG00000000168	165	178	116
ENSGMOG00000000169	13	21	18
ENSGMOG00000000170	120	156	97
ENSGMOG00000000171	942	983	708
ENSGMOG00000000172	2101	1902	1504
ENSGMOG00000000173	459	485	326
ENSGMOG00000000174	1911	2109	1460
ENSGMOG00000000175	751	649	491
ENSGMOG00000000176	1124	1049	1003
ENSGMOG00000000177	777	857	501
ENSGMOG00000000178	5417	5864	4037
ENSGMOG00000000179	2503	2457	1820
ENSGMOG00000000180	473	409	287
ENSGMOG00000000181	2616	2187	1774
ENSGMOG00000000182	296	238	176
ENSGMOG00000000183	0	1	0
ENSGMOG00000000184	8752	8108	6092
ENSGMOG00000000185	174	153	124
ENSGMOG00000000186	1779	1403	1206
ENSGMOG00000000187	2	0	0
ENSGMOG00000000188	445	434	256
ENSGMOG00000000189	14373	15231	10297
ENSGMOG00000000190	1198	1111	667
ENSGMOG00000000191	0	0	1
ENSGMOG00000000192	83	63	46
ENSGMOG00000000193	5746	5136	4152
ENSGMOG00000000194	2141	1618	1266
ENSGMOG00000000195	1323	1065	846
ENSGMOG00000000196	1	0	2
ENSGMOG00000000197	37	21	20
ENSGMOG00000000198	3680	3510	2740
ENSGMOG00000000199	82	44	36
ENSGMOG00000000200	304	219	200
ENSGMOG00000000201	1536	1030	950
ENSGMOG00000000202	736	781	653
ENSGMOG00000000203	29	9	9
ENSGMOG00000000204	2216	2085	1587
ENSGMOG00000000205	48	37	37
ENSGMOG00000000206	338	319	265
ENSGMOG00000000207	767	677	520
ENSGMOG00000000208	3062	3027	2561
ENSGMOG00000000209	1236	934	859
ENSGMOG00000000210	0	0	0
ENSGMOG00000000211	20	11	15
ENSGMOG00000000212	465	410	364
ENSGMOG00000000213	7	2	4
ENSGMOG00000000214	12	8	5
ENSGMOG00000000215	4	8	3
ENSGMOG00000000216	135	119	96
ENSGMOG00000000217	649	591	456
ENSGMOG00000000218	6340	5938	4297
ENSGMOG00000000219	0	1	2
ENSGMOG00000000220	2	1	1
ENSGMOG00000000221	1300	1301	881
ENSGMOG00000000222	393	394	257
ENSGMOG00000000223	2095	1432	1756
ENSGMOG00000000224	1400	1204	945
ENSGMOG00000000225	4	2	3
ENSGMOG00000000226	154	132	101
ENSGMOG00000000227	107	76	52
ENSGMOG00000000228	3236	2475	2425
ENSGMOG00000000229	65	55	39
ENSGMOG00000000230	45	31	34
ENSGMOG00000000231	12334	12731	9119
ENSGMOG00000000232	6348	7102	4671
ENSGMOG00000000233	3254	3027	2169
ENSGMOG00000000234	866	532	958
ENSGMOG00000000235	1611	1762	991
ENSGMOG00000000236	10037	10814	6734
ENSGMOG00000000237	1141	1009	913
ENSGMOG00000000238	466	446	326
ENSGMOG00000000239	848	710	554
ENSGMOG00000000240	2282	2283	1577
ENSGMOG00000000241	1297	1368	871
ENSGMOG00000000242	1464	1203	1103
ENSGMOG00000000243	16203	15878	11542
ENSGMOG00000000244	1198	1220	906
ENSGMOG00000000245	125	100	107
ENSGMOG00000000246	5970	6561	4137
ENSGMOG00000000247	1718	1687	1347
ENSGMOG00000000248	4580	4705	3438
ENSGMOG00000000249	2215	1853	1684
ENSGMOG00000000250	9248	8924	6321
ENSGMOG00000000251	7376	5870	5022
ENSGMOG00000000252	497	401	330
ENSGMOG00000000253	973	898	731
ENSGMOG00000000254	1416	1154	937
ENSGMOG00000000255	1115	1213	793
ENSGMOG00000000256	2	0	1
ENSGMOG00000000257	678	903	525
ENSGMOG00000000258	2029	1665	1543
ENSGMOG00000000259	91	107	56
ENSGMOG00000000260	9410	7120	6595
ENSGMOG00000000261	274	204	186
ENSGMOG00000000262	1180	879	753
ENSGMOG00000000263	31	58	22
ENSGMOG00000000264	3488	2978	2490
ENSGMOG00000000265	60	21	35
ENSGMOG00000000266	11816	11675	8633
ENSGMOG00000000267	6982	5523	4181
ENSGMOG00000000268	3687	2980	2510
ENSGMOG00000000269	106	74	52
ENSGMOG00000000270	274	259	187
ENSGMOG00000000271	773	690	601
ENSGMOG00000000272	0	1	0
ENSGMOG00000000273	8743	7085	6184
ENSGMOG00000000274	1441	1502	1072
ENSGMOG00000000275	73	42	22
ENSGMOG00000000276	61	38	40
ENSGMOG00000000277	1132	949	828
ENSGMOG00000000278	9329	8793	7412
ENSGMOG00000000279	18	19	11
ENSGMOG00000000280	22	9	13
ENSGMOG00000000281	6	7	0
ENSGMOG00000000282	45	29	31
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	0	0	5
ENSGMOG00000000285	352	292	254
ENSGMOG00000000286	144	154	110
ENSGMOG00000000287	18	13	17
ENSGMOG00000000288	198	154	144
ENSGMOG00000000289	80	78	53
ENSGMOG00000000290	4	7	5
ENSGMOG00000000291	4784	4494	3586
ENSGMOG00000000292	197	205	157
ENSGMOG00000000293	39	46	25
ENSGMOG00000000294	65	67	37
ENSGMOG00000000295	916	659	689
ENSGMOG00000000296	197	142	113
ENSGMOG00000000297	521	446	297
ENSGMOG00000000298	707	493	431
ENSGMOG00000000299	1	4	2
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	10141	9832	7008
ENSGMOG00000000302	170	109	101
ENSGMOG00000000303	453	352	583
ENSGMOG00000000304	2	0	2
ENSGMOG00000000305	0	0	0
ENSGMOG00000000306	0	0	0
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	1691	1547	1174
ENSGMOG00000000309	647	435	377
ENSGMOG00000000310	2541	2877	1940
ENSGMOG00000000311	0	0	0
ENSGMOG00000000312	2570	2254	1710
ENSGMOG00000000313	0	0	0
ENSGMOG00000000314	0	2	0
ENSGMOG00000000315	31	32	14
ENSGMOG00000000316	1156	1303	771
ENSGMOG00000000317	876	737	557
ENSGMOG00000000318	102600	97802	98447
ENSGMOG00000000319	40	21	13
ENSGMOG00000000320	1136	594	932
ENSGMOG00000000321	4755	4471	3220
ENSGMOG00000000322	67	73	92
ENSGMOG00000000323	1105	888	787
ENSGMOG00000000324	527	474	316
ENSGMOG00000000325	1617	1736	1184
ENSGMOG00000000326	24317	20819	17202
ENSGMOG00000000327	172	121	129
ENSGMOG00000000328	1218	1175	808
ENSGMOG00000000329	14	14	9
ENSGMOG00000000330	1667	1519	967
ENSGMOG00000000331	5029	5695	3608
ENSGMOG00000000332	9	13	8
ENSGMOG00000000333	25	26	12
ENSGMOG00000000334	7	0	0
ENSGMOG00000000335	1458	1142	1013
ENSGMOG00000000336	147	92	95
ENSGMOG00000000337	676	571	497
ENSGMOG00000000338	977	693	674
ENSGMOG00000000339	17	4	2
ENSGMOG00000000340	714	600	563
